wpm_mean,wpm_std,wpm_trend,delete_ratio_mean,delete_ratio_max,idle_mean,idle_max,idle_count,error_count,error_repeat_flag,time_on_line_sec,cursor_moves,attempt_count,same_error_count,run_count,hint_clicked,question_asked,cartoon_activated,understood_after_help,confusion_type_id,confused,timestamp,session_id,split
69.91029,90.78588,-1.6861628,0.11904762,0.33333334,0.52501106,4.3130918,2.0,2.0,0.0,25.976368,0.0,1.0,1.0,57.0,1.0,0.0,0.0,0.0,0.0,1,1716720030.7991965,synthetic_000,test
53.065517,68.99376,-2.2909288,0.11904762,0.33333334,0.7706789,6.647656,3.0,2.0,0.0,29.812342,0.0,1.0,1.0,60.0,1.0,0.0,1.0,1.0,0.0,1,1716720035.7991965,synthetic_000,test
34.71362,41.756702,-3.0450318,0.16,0.4,1.0758203,6.647656,3.0,2.0,0.0,26.74128,0.0,1.0,1.0,47.0,1.0,0.0,1.0,1.0,0.0,1,1716720040.7991965,synthetic_000,test
9.028597,9.219812,0.22756928,0.2,0.4,2.066034,6.647656,4.0,4.0,0.0,28.300144,0.0,1.0,1.0,31.0,1.0,0.0,1.0,1.0,0.0,1,1716720045.7991965,synthetic_000,test
10.427652,15.480118,1.9380721,0.28333333,0.4,2.190697,6.647656,4.0,4.0,0.0,26.356667,0.0,1.0,1.0,33.0,1.0,0.0,1.0,1.0,17.0,1,1716720050.7991965,synthetic_000,test
10.668864,16.373652,1.9835167,0.3,0.5,2.5439694,6.7759075,4.0,4.0,0.0,27.37478,0.0,1.0,1.0,30.0,1.0,0.0,1.0,1.0,17.0,1,1716720055.7991965,synthetic_000,test
9.349374,15.494965,0.40802598,0.38333333,0.75,2.3508923,6.7759075,4.0,4.0,0.0,26.264835,0.0,2.0,2.0,37.0,1.0,0.0,1.0,1.0,17.0,1,1716720060.7991965,synthetic_000,test
10.598814,16.421926,-0.46659502,0.36666667,0.6,2.1580484,6.7759075,3.0,4.0,0.0,23.959776,0.0,2.0,2.0,34.0,1.0,0.0,1.0,1.0,0.0,1,1716720065.7991965,synthetic_000,test
10.999091,17.161955,-0.84673953,0.26666668,0.6,2.1781614,6.7759075,3.0,4.0,0.0,20.368858,0.0,2.0,2.0,32.0,1.0,0.0,1.0,1.0,17.0,1,1716720070.7991965,synthetic_000,test
9.693615,20.196283,-3.022872,0.55,0.6,2.4796371,6.7759075,2.0,1.0,0.0,14.463818,0.0,2.0,2.0,21.0,0.0,0.0,1.0,1.0,24.0,1,1716720075.7991965,synthetic_000,test
3.318658,3.6818357,0.8549044,0.46666667,0.6,4.1229467,14.962121,3.0,1.0,0.0,26.207664,0.0,2.0,2.0,24.0,0.0,1.0,0.0,0.0,24.0,1,1716720080.7991965,synthetic_000,test
2.9499185,3.6173396,-0.06529854,0.55,0.6,3.5054274,14.962121,3.0,1.0,0.0,27.851456,0.0,2.0,2.0,27.0,0.0,1.0,0.0,0.0,24.0,1,1716720085.7991965,synthetic_000,test
3.3130538,3.8115587,-0.78414685,0.7,1.0,4.3351893,14.962121,2.0,0.0,0.0,24.079227,0.0,2.0,2.0,18.0,0.0,1.0,0.0,0.0,7.0,1,1716720090.7991965,synthetic_000,test
6.736061,12.248878,1.8870465,0.46666667,0.6,4.1406016,14.962121,3.0,1.0,0.0,18.162693,0.0,3.0,3.0,24.0,0.0,1.0,0.0,0.0,7.0,1,1716720095.7991965,synthetic_000,test
4.8834887,10.221526,-0.11704604,0.6666667,1.0,3.2368174,14.962121,3.0,2.0,0.0,23.879688,0.0,4.0,4.0,36.0,0.0,1.0,1.0,0.0,16.0,1,1716720100.7991965,synthetic_000,test
4.411833,9.193214,-0.2000303,0.7,1.0,2.6864924,14.962121,3.0,4.0,1.0,28.021759,0.0,4.0,4.0,48.0,0.0,1.0,1.0,0.0,16.0,1,1716720105.7991965,synthetic_000,test
6.9210267,14.539793,0.7076036,0.6666667,0.8,1.8310868,5.8749337,2.0,4.0,1.0,23.736156,0.0,4.0,4.0,45.0,1.0,1.0,1.0,0.0,16.0,1,1716720110.7991965,synthetic_000,test
7.0608177,14.47845,0.010997973,0.6,0.8,1.9129226,5.8749337,2.0,4.0,1.0,22.818905,0.0,4.0,4.0,45.0,1.0,1.0,1.0,0.0,15.0,1,1716720115.7991965,synthetic_000,test
7.020737,13.749873,0.03741905,0.6166667,0.8,1.84078,5.8749337,2.0,4.0,1.0,27.259108,0.0,4.0,4.0,54.0,1.0,1.0,1.0,1.0,15.0,1,1716720120.7991965,synthetic_000,test
5.743442,12.79817,0.6654818,0.6666667,0.8,1.605897,5.7228155,1.0,4.0,1.0,21.542507,0.0,4.0,4.0,45.0,1.0,1.0,1.0,1.0,25.0,1,1716720125.7991965,synthetic_000,test
6.728245,13.539255,0.053026665,0.46666667,0.8,2.2194257,7.809908,2.0,4.0,1.0,26.946617,0.0,2.0,2.0,39.0,1.0,1.0,1.0,1.0,22.0,1,1716720130.7991965,synthetic_000,test
8.386636,15.856851,-1.3561885,0.425,0.6,2.745607,7.809908,2.0,4.0,0.0,21.745897,0.0,1.0,1.0,27.0,1.0,1.0,1.0,1.0,22.0,1,1716720135.7991965,synthetic_000,test
3.026847,6.2964015,-0.096428595,0.5,0.6,2.978701,7.809908,3.0,4.0,1.0,21.657778,1.0,3.0,3.0,30.0,1.0,1.0,1.0,1.0,16.0,1,1716720140.7991965,synthetic_000,test
4.155076,6.883867,-0.016657513,0.6,1.0,2.7706323,7.809908,3.0,4.0,1.0,17.821663,1.0,5.0,5.0,33.0,1.0,1.0,1.0,1.0,16.0,1,1716720145.7991965,synthetic_000,test
3.1477125,4.5480313,0.3566552,0.325,0.4,3.3252308,7.809908,4.0,4.0,1.0,12.287315,1.0,5.0,5.0,27.0,0.0,1.0,0.0,0.0,16.0,0,1716720150.7991965,synthetic_000,test
2.575401,4.2625103,-0.06300092,0.6,1.0,3.2253654,7.809908,5.0,4.0,1.0,17.607616,1.0,5.0,5.0,33.0,0.0,1.0,0.0,0.0,16.0,1,1716720155.7991965,synthetic_000,test
2.4778316,4.701729,-0.059639297,0.575,0.75,2.7775495,7.1357694,4.0,2.0,1.0,13.892803,1.0,5.0,5.0,27.0,0.0,1.0,0.0,0.0,9.0,1,1716720160.7991965,synthetic_000,test
